product_id,sku,name,description,category_id,price,cost_price,weight_kg,stock_quantity,reorder_point,discontinued
92097494,8282952997535,whiteboard distributed convergence,"Position expert sell strong surface long particular. Attention item bit that miss particular.
Maybe scene blue certain. Wait pretty population trip.",1,894.15,510.98,3.706,176,26,False
32761347,8227770338863,architect global niches,"Be from reflect include ever. Popular performance also increase impact describe.
Box world where anyone reason image.
Accept deal baby send. Idea firm add ball five direction.",1,31.18,17.24,8.609,135,32,False
27949055,5595908675269,matrix turn-key vortals,Compare use development camera drive one poor. Become source probably although week political example.,1,453.4,243.8,12.235,69,44,False
81686618,9343665153997,evolve 24/7 convergence,Character town local. Have pay Mr according director not get. Language follow full between street.,1,135.27,89.0,12.577,162,30,False
21142965,4175265295921,incubate extensible portals,"Concern carry specific trip example summer affect. Occur no physical sure hard.
Environmental natural moment exactly herself heavy language herself. Trial ten model family.",1,1344.45,736.34,4.519,64,46,True
75650777,2296602137895,morph end-to-end experiences,"None nature cost plant card kid manage. Why along pull late dream.
Program night throw understand security go want. Even test nearly summer blood executive well appear. Painting even produce.",1,259.75,137.21,2.281,199,32,False
23255508,0884749027814,synergize cross-platform e-business,"Agency wonder leg exactly prevent environmental. Treatment upon then meet. Increase kitchen rule assume trip floor defense security.
Food story she far suffer environment.",1,1293.2,935.87,2.143,0,36,False
25500102,9500371201675,evolve cutting-edge action-items,"Talk wrong avoid here should. Field sea east my. Few vote group involve over including question.
Prevent idea much black hope system would. One activity rule such spend.",1,845.9,660.83,2.286,103,21,False
9955283,5501030025391,e-enable back-end applications,Outside why kid rest threat. Traditional product school pull. State ago capital cultural available pattern pattern. Start none practice prevent financial security benefit technology.,1,861.25,555.01,4.765,177,10,False
64360700,2138564721081,enhance transparent networks,"Various amount music sport his. Traditional necessary world outside bed painting. Affect it new sound happy focus.
Brother national economy wear. Sense partner tell.",1,482.84,251.68,14.977,26,23,True
69603036,4145247541704,e-enable bricks-and-clicks schemas,"Sport say respond. Small assume culture owner else.
Take color sense draw activity community. Best what chair support effect factor create.",1,96.63,60.43,2.508,184,10,False
75530145,3433219228434,optimize world-class communities,Up hold commercial election thousand church window. Wish history after much president gas maybe. Argue reflect red ok good form air.,1,545.93,446.03,12.006,181,43,False
71371263,3836327864370,leverage efficient vortals,Mean focus number task chair arm see. Unit identify and dog student coach. Understand drug cover grow collection new heart.,1,330.09,166.6,13.984,12,33,False
34191171,3611858937812,optimize next-generation initiatives,"Method improve number left.
Company once four machine focus teacher. Father use minute. Report describe meet news every official.",1,1312.66,663.87,10.006,139,31,True
7708113,7109469647689,transition customized mindshare,"Scene where memory reason population hard anything. Again model quite. Eight month help.
See include ground quite. Least discussion second Congress point run change.",1,533.74,350.53,8.911,11,31,False
88638274,3749424835108,envisioneer dot-com ROI,"Offer pull official institution there. Boy low value resource training thought enough job.
Then free get mind game character claim. He able security.
Along management society policy management would.",1,1690.93,912.24,12.816,130,27,False
93984617,9669786622038,architect extensible deliverables,"Account pass threat about. Hold hear car.
Tough group according pretty figure. Pass hand upon firm herself finish. Still fill body fish.",1,213.67,112.83,4.804,90,23,False
87712840,0576498053465,expedite front-end architectures,"Social onto like citizen debate election challenge. Produce need figure language particular others argue.
Anything Mrs story. Study talk four race sign.",1,1609.54,871.7,12.984,183,15,False
7076295,1262292289719,redefine bleeding-edge interfaces,International join instead charge house participant. Can party eye sort. Well enjoy commercial sport how show despite garden.,1,397.51,284.31,0.739,7,24,False
38325908,2165433300962,deploy dynamic users,"Music send claim young wish. Trouble song career agreement people ok network.
Shake pretty maybe really only dinner successful.",1,1795.95,904.72,2.828,189,28,False
39007391,9862717948171,enhance seamless e-tailers,"Drug for month share positive help agency. Pretty card thing both black big admit wonder.
Last nature design structure defense physical. May poor discover as.",1,347.71,196.89,5.58,106,39,False
25636007,8649024342479,morph killer vortals,"Morning trouble movement several level. Method opportunity effect economy watch as in recent.
Body its situation seven that system. Discuss boy animal bed star risk.",1,1899.26,981.96,0.923,127,28,False
29638344,5773662035172,matrix holistic functionalities,"Worry green like new and kid. Discussion area think well. Than loss interview simple evening century first.
Industry eye store think black city growth. Major final stock near serious similar.",1,883.96,601.18,14.065,37,10,False
40487447,8176785740713,iterate web-enabled ROI,Consider work together those themselves thus. Yet much activity beautiful financial key few myself. Alone interview environment.,1,523.48,327.41,9.806,21,50,False
59751918,4713185840809,benchmark 24/365 networks,"Space choice project question. Business look white beyond painting foreign our. What order each anything subject.
Opportunity ever interest buy whose form draw. Citizen small why nor culture.",1,1056.66,714.77,4.093,153,47,False
82238297,2545876396324,deploy bricks-and-clicks communities,Happen matter political summer large science. Test part loss. Discuss floor cover receive scene agreement knowledge artist. A food message act.,1,1356.84,834.07,12.188,159,15,False
40414620,5441531502338,leverage enterprise relationships,"Chair positive card course. Rock either participant protect. Phone most be.
Return customer change but trouble. Deal seven tonight positive buy.",1,743.06,533.85,8.766,122,28,True
33969933,8703652008821,evolve front-end mindshare,"Culture area daughter worry opportunity there quickly mention. Movement tough body blue. Factor away better class can.
Win enter eye visit. Court politics to prepare.",1,827.59,501.3,7.212,71,38,False
61618272,4003290511542,generate world-class functionalities,Town nature tough card full dinner pull. Compare difference always fight safe. Feeling section size light nice final deal.,1,904.13,590.03,6.254,135,12,False
95243261,4248831909468,re-contextualize front-end methodologies,Everything choice imagine big what girl. Simple serve class line whose read.,1,929.41,466.09,1.897,148,33,False
